"filename", "language", "TypeScript", "JSON", "CSS", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ReferenceImagePanel/ReferenceImagePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 376, 15, 42, 433
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ResizeModal/ResizeModal.css", "CSS", 0, 0, 148, 0, 0, 0, 21, 169
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ResizeModal/ResizeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 1, 12, 109
"/Users/diniden/Desktop/self/pixel-art/client/src/components/RightSidebarTopControls/RightSidebarTopControls.css", "CSS", 0, 0, 142, 0, 0, 2, 23, 167
"/Users/diniden/Desktop/self/pixel-art/client/src/components/RightSidebarTopControls/RightSidebarTopControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 376, 0, 26, 402
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Toolbar/LightingStudioTools.tsx", "TypeScript JSX", 0, 0, 0, 0, 221, 16, 29, 266
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Toolbar/PixelStudioTools.tsx", "TypeScript JSX", 0, 0, 0, 0, -53, 0, -6, -59
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Toolbar/Toolbar.css", "CSS", 0, 0, -21, 0, 0, 1, -7, -27
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Toolbar/Toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, -2, -4, 84
"/Users/diniden/Desktop/self/pixel-art/client/src/components/VariantSelectModal/VariantSelectModal.css", "CSS", 0, 0, 9, 0, 0, 1, 2, 12
"/Users/diniden/Desktop/self/pixel-art/client/src/components/VariantSelectModal/VariantSelectModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 18
"/Users/diniden/Desktop/self/pixel-art/client/src/services/api.ts", "TypeScript", 205, 0, 0, 0, 0, 26, 25, 256
"/Users/diniden/Desktop/self/pixel-art/client/src/services/autoSave.ts", "TypeScript", 6, 0, 0, 0, 0, 0, -1, 5
"/Users/diniden/Desktop/self/pixel-art/client/src/services/export.ts", "TypeScript", -143, 0, 0, 0, 0, -9, -34, -186
"/Users/diniden/Desktop/self/pixel-art/client/src/store/colorAdjustmentActions.ts", "TypeScript", 391, 0, 0, 0, 0, 22, 30, 443
"/Users/diniden/Desktop/self/pixel-art/client/src/store/drawingActions.ts", "TypeScript", 327, 0, 0, 0, 0, 15, 25, 367
"/Users/diniden/Desktop/self/pixel-art/client/src/store/frameActions.ts", "TypeScript", 292, 0, 0, 0, 0, 15, 35, 342
"/Users/diniden/Desktop/self/pixel-art/client/src/store/helpers.ts", "TypeScript", 76, 0, 0, 0, 0, 4, 14, 94
"/Users/diniden/Desktop/self/pixel-art/client/src/store/index.ts", "TypeScript", -3477, 0, 0, 0, 0, -253, -465, -4195
"/Users/diniden/Desktop/self/pixel-art/client/src/store/layerActions.ts", "TypeScript", 650, 0, 0, 0, 0, 37, 77, 764
"/Users/diniden/Desktop/self/pixel-art/client/src/store/layerClipboardActions.ts", "TypeScript", 727, 0, 0, 0, 0, 49, 62, 838
"/Users/diniden/Desktop/self/pixel-art/client/src/store/lightingActions.ts", "TypeScript", 920, 0, 0, 0, 0, 47, 70, 1037
"/Users/diniden/Desktop/self/pixel-art/client/src/store/objectActions.ts", "TypeScript", 210, 0, 0, 0, 0, 8, 16, 234
"/Users/diniden/Desktop/self/pixel-art/client/src/store/paletteActions.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 6, 71
"/Users/diniden/Desktop/self/pixel-art/client/src/store/projectActions.ts", "TypeScript", 147, 0, 0, 0, 0, 14, 30, 191
"/Users/diniden/Desktop/self/pixel-art/client/src/store/referenceActions.ts", "TypeScript", 89, 0, 0, 0, 0, 7, 13, 109
"/Users/diniden/Desktop/self/pixel-art/client/src/store/selectionActions.ts", "TypeScript", 582, 0, 0, 0, 0, 14, 56, 652
"/Users/diniden/Desktop/self/pixel-art/client/src/store/storeTypes.ts", "TypeScript", 361, 0, 0, 0, 0, 48, 39, 448
"/Users/diniden/Desktop/self/pixel-art/client/src/store/timelineActions.ts", "TypeScript", 282, 0, 0, 0, 0, 11, 25, 318
"/Users/diniden/Desktop/self/pixel-art/client/src/store/toolActions.ts", "TypeScript", 427, 0, 0, 0, 0, 12, 46, 485
"/Users/diniden/Desktop/self/pixel-art/client/src/store/variantActions.ts", "TypeScript", 1203, 0, 0, 0, 0, 81, 129, 1413
"/Users/diniden/Desktop/self/pixel-art/client/src/types/index.ts", "TypeScript", 278, 0, 0, 0, 0, 64, 12, 354
"/Users/diniden/Desktop/self/pixel-art/client/src/utils/edgeInterpolate.ts", "TypeScript", 311, 0, 0, 0, 0, 114, 82, 507
"/Users/diniden/Desktop/self/pixel-art/client/src/utils/lightingRenderer.ts", "TypeScript", 17, 0, 0, 0, 0, 20, 4, 41
"/Users/diniden/Desktop/self/pixel-art/client/tsconfig.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/diniden/Desktop/self/pixel-art/client/vite.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/diniden/Desktop/self/pixel-art/package.json", "JSON", 0, 1, 0, 0, 0, 0, -1, 0
"/Users/diniden/Desktop/self/pixel-art/server/package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/diniden/Desktop/self/pixel-art/server/src/backup.ts", "TypeScript", 227, 0, 0, 0, 0, 80, 64, 371
"/Users/diniden/Desktop/self/pixel-art/server/src/data/Base Unit.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/diniden/Desktop/self/pixel-art/server/src/data/Plains Terrain.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/diniden/Desktop/self/pixel-art/server/src/data/config.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
"/Users/diniden/Desktop/self/pixel-art/server/src/data/project.backup.json", "JSON", 0, -72493, 0, 0, 0, 0, 0, -72493
"/Users/diniden/Desktop/self/pixel-art/server/src/data/project.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"/Users/diniden/Desktop/self/pixel-art/server/src/data/project.migration-backup.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"/Users/diniden/Desktop/self/pixel-art/server/src/index.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 0, 6
"/Users/diniden/Desktop/self/pixel-art/server/src/routes/export.ts", "TypeScript", 782, 0, 0, 0, 0, 58, 88, 928
"/Users/diniden/Desktop/self/pixel-art/server/src/routes/project.ts", "TypeScript", 158, 0, 0, 0, 0, 21, 42, 221
"Total", "-", 5870, -72487, 3691, 73, 7035, 1068, 1985, -52765
