"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/diniden/Desktop/self/pixel-art/client/src/components/CopyFromModal/CopyFromModal.tsx", "TypeScript JSX", 0, 0, 189, 0, 0, 0, 6, 34, 229
"/Users/diniden/Desktop/self/pixel-art/client/src/components/FrameTimeline/FrameTimeline.css", "CSS", 0, 738, 0, 0, 0, 0, 16, 121, 875
"/Users/diniden/Desktop/self/pixel-art/client/src/components/FrameTimeline/FrameTimeline.tsx", "TypeScript JSX", 0, 0, 154, 0, 0, 0, 10, 24, 188
"/Users/diniden/Desktop/self/pixel-art/client/src/components/FrameTimeline/FramesView.tsx", "TypeScript JSX", 0, 0, 622, 0, 0, 0, 35, 56, 713
"/Users/diniden/Desktop/self/pixel-art/client/src/components/FrameTimeline/TimelineView.tsx", "TypeScript JSX", 0, 0, 525, 0, 0, 0, 76, 78, 679
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Header/Header.css", "CSS", 0, 122, 0, 0, 0, 0, 0, 24, 146
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Header/Header.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 9, 60
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LayerColors/LayerColors.css", "CSS", 0, 156, 0, 0, 0, 0, 0, 22, 178
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LayerColors/LayerColors.tsx", "TypeScript JSX", 0, 0, 212, 0, 0, 0, 15, 23, 250
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LayerPanel/LayerPanel.css", "CSS", 0, 345, 0, 0, 0, 0, 3, 67, 415
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LayerPanel/LayerPanel.tsx", "TypeScript JSX", 0, 0, 476, 0, 0, 0, 19, 32, 527
